Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Solly March,eng ENG,"DF,FW",25,19,11,"1,143",0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,0.6,0.10,0.05,0.16,0.10,0.16,Matches
Glenn Murray,eng ENG,FW,35,23,7,797,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.5,0.25,0.05,0.30,0.25,0.30,Matches
Bernardo,br BRA,DF,24,14,7,679,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07,Matches
Tariq Lamptey,eng ENG,DF,18,8,7,588,0,1,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.2,0.00,0.04,0.04,0.00,0.04,Matches
Ezequiel Schelotto,it ITA,DF,30,8,4,361,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.08,0.00,0.08,0.08,0.08,Matches
Alexis Mac Allister,ar ARG,"MF,FW",20,9,4,352,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.04,0.10,0.14,0.04,0.14,Matches
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,10,3,311,2,0,0,0,0,0,0.58,0.00,0.58,0.58,0.58,0.5,0.5,0.1,0.14,0.02,0.16,0.14,0.16,Matches
Jürgen Locadia,nl NED,"MF,FW",25,2,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.40,0.00,0.40,0.40,0.40,Matches
Florin Andone,ro ROU,"MF,FW",26,3,1,73,1,0,0,0,0,1,1.23,0.00,1.23,1.23,1.23,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24,Matches
Gaëtan Bong,cm CMR,"MF,DF",31,4,0,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.20,0.20,0.00,0.20,Matches
Leon Balogun,ng NGA,DF,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Tudor Băluță,ro ROU,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
David Button,eng ENG,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Alexander Cochrane,eng ENG,DF,,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Nick Pope,eng ENG,GK,27,38,38,"3,420",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.00,0.01,0.01,0.00,0.01,Matches
James Tarkowski,eng ENG,DF,26,38,38,"3,420",2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.4,2.4,1.9,0.06,0.05,0.11,0.06,0.11,Matches
Dwight McNeil,eng ENG,MF,19,38,38,"3,338",2,6,0,0,5,0,0.05,0.16,0.22,0.05,0.22,2.3,2.3,6.4,0.06,0.18,0.24,0.06,0.24,Matches
Ashley Westwood,eng ENG,MF,29,35,35,"3,150",2,6,0,0,9,0,0.06,0.17,0.23,0.06,0.23,1.1,1.1,5.0,0.03,0.15,0.18,0.03,0.18,Matches
Ben Mee,eng ENG,DF,29,32,32,"2,880",1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.6,1.6,0.7,0.05,0.02,0.07,0.05,0.07,Matches
Jack Cork,eng ENG,MF,30,30,30,"2,613",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.7,0.06,0.02,0.09,0.06,0.09,Matches
Chris Wood,nz NZL,FW,27,32,29,"2,437",14,1,1,1,1,0,0.52,0.04,0.55,0.48,0.52,12.3,11.5,0.9,0.47,0.03,0.51,0.44,0.48,Matches
Charlie Taylor,eng ENG,DF,25,24,22,"1,945",0,1,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,1.1,0.00,0.05,0.05,0.00,0.05,Matches
Jeff Hendrick,ie IRL,MF,27,24,22,"1,931",2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
Phil Bardsley,sco SCO,DF,34,21,21,"1,890",0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.8,0.01,0.04,0.05,0.01,0.05,Matches
Erik Pieters,nl NED,"DF,MF",30,24,21,"1,878",0,4,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.8,0.8,1.9,0.04,0.09,0.13,0.04,0.13,Matches
Jay Rodriguez,eng ENG,FW,30,36,20,"2,016",8,1,1,1,1,0,0.36,0.04,0.40,0.31,0.36,7.1,6.3,0.9,0.33,0.04,0.37,0.29,0.34,Matches
Matthew Lowton,eng ENG,DF,30,17,17,"1,530",0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,1.1,0.00,0.06,0.06,0.00,0.06,Matches
Ashley Barnes,at AUT,FW,29,19,17,"1,352",6,0,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.4,4.6,0.5,0.36,0.03,0.39,0.31,0.34,Matches
Josh Brownhill,eng ENG,MF,23,10,9,805,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.06,0.02,0.08,0.06,0.08,Matches
Matěj Vydra,cz CZE,FW,27,19,7,819,2,1,0,0,0,0,0.22,0.11,0.33,0.22,0.33,3.7,3.7,1.2,0.41,0.14,0.55,0.41,0.55,Matches
Jóhann Berg Guðmundsson,is ISL,MF,28,12,6,621,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.0,1.0,0.8,0.16,0.13,0.30,0.16,0.30,Matches
Kevin Long,ie IRL,DF,28,8,6,564,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Robbie Brady,ie IRL,MF,27,17,5,454,1,2,0,0,1,0,0.20,0.40,0.59,0.20,0.59,1.1,1.1,0.3,0.22,0.06,0.28,0.22,0.28,Matches
Aaron Lennon,eng ENG,MF,32,16,4,496,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
